attempts,is_vpn,frequency,country_rank,is_malicious
52,0,42.802324419586455,9,1
93,1,43.750649936694906,6,1
15,0,29.104975717122716,4,0
72,0,26.27474887668531,8,1
61,1,40.84075729962092,3,1
21,0,37.491825471739325,10,1
83,0,20.076226648056643,2,1
87,0,4.2286603690677635,7,1
75,0,38.44815535740261,4,1
75,0,8.518181344118162,4,0
88,0,0.9172076332760689,10,1
24,0,42.18080349267914,9,1
3,0,28.954866882302262,2,0
22,0,44.59413517323434,1,0
53,0,24.28094535156114,7,1
2,0,46.33140692549901,8,0
88,0,17.763190224145305,3,1
30,0,36.25364791648121,2,0
38,0,15.119226812162996,4,0
2,1,0.1580668499661237,2,0
64,0,19.04925227399294,2,0
60,0,36.91449910415101,5,1
21,0,7.586206554381044,10,0
33,1,25.289621457048913,5,1
76,0,10.694842094050678,8,1
58,0,3.823743658813235,9,0
22,0,30.910853899021383,2,0
89,0,47.60318435293981,1,1
49,0,15.604140514024062,3,0
91,0,29.074225437961527,6,1
59,0,47.684808050764644,5,1
42,1,32.55911916473491,8,1
92,0,33.68835378526672,8,1
60,0,9.028532726885711,2,0
80,0,24.681222974756054,9,1
15,1,18.41742907965361,4,0
62,0,23.600746934312397,1,0
62,1,40.06124616444967,2,1
47,1,23.088879488530306,6,1
62,0,3.2362488450659703,5,0
51,0,45.28652889142806,7,1
55,0,27.286312783853337,9,1
64,0,46.23226849066157,6,1
3,0,28.66049015017846,6,0
51,0,3.5748521671555236,2,0
7,1,27.688182736935985,7,1
21,0,28.829372731384762,2,0
73,1,10.795559979214483,7,1
39,0,23.6043512968084,8,0
18,0,23.026131442495203,1,0
4,1,31.18151983612812,9,1
89,0,13.054743523828627,8,1
60,0,29.12924605561487,9,1
14,0,12.123506927583446,5,0
9,0,22.37761908297494,4,0
90,0,6.22301439693162,1,0
53,0,1.9612973382877614,9,0
2,0,16.097306568987523,4,0
84,1,13.8011303574221,4,1
92,0,20.4061020103642,4,1
60,1,48.10293273801695,2,1
71,0,26.15924180903939,4,1
44,0,27.703517636224152,2,0
8,0,47.085891835489974,8,0
47,0,46.06524216583247,7,1
35,1,44.21718649963085,10,1
78,0,4.98993762728268,2,0
81,0,31.751440784964487,2,1
36,0,40.42413912662624,2,0
50,0,41.79517700989704,1,0
4,1,28.937566410844617,6,1
2,1,0.9730278195598383,6,0
6,0,48.68827379192258,1,0
54,0,23.66261546763026,1,0
4,0,19.740435174152548,6,0
54,0,19.807940812495428,6,0
93,1,21.2651289149075,4,1
63,0,12.184817836820374,3,0
18,0,16.43394792491651,9,0
90,0,49.26934472775949,6,1
44,1,18.4715832127791,1,1
34,0,26.383578322042073,3,0
74,0,42.4298838721634,1,1
62,0,26.41864777433229,3,0
14,0,16.290225738746564,2,0
95,0,26.235173748234654,5,1
48,0,5.792906890910962,3,0
15,0,6.587347066115214,7,0
72,0,34.73596585831038,8,1
78,0,45.88128679726131,7,1
87,0,36.31133886107706,2,1
62,0,3.823200708802124,10,1
40,0,20.204490990447184,10,1
85,0,0.2274240545763803,7,1
